RegionID,RegionName,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
12447,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2,155000,154600,154400,154200,154100,154300,154300,154200,154800,155900,157000,157700,158200,158600,158800,158900,159100,159800,160700,161900,163400,165400,167000,168500,169900,171400,172900,174300,175800,177800,180100,182600,184400,185600,186900,188200,189600,191300,193100,194700,196300,197700,199100,200700,202300,204400,207000,209800,212300,214500,216600,219000,221100,222800,224300,226100,228100,230600,233100,235400,237300,239100,240900,242900,245000,247300,250100,253100,255900,258800,261900,265200,268600,272600,276900,281800,287000,292100,297000,302100,307600,313400,319000,324300,329600,334600,339400,344600,350600,356800,363400,370600,378300,386400,394900,404300,414700,425700,436800,447600,456800,464400,471000,477200,483300,488800,494400,501300,509700,518600,527800,536700,545700,555200,564400,571700,576400,579100,581200,583300,585300,587800,590800,593200,593900,593400,592900,592600,591100,590100,591000,592100,592000,590700,587100,582500,577900,572700,567500,562000,554100,544400,534800,524900,513600,502400,491600,481600,473100,466100,459800,454400,448000,441600,435900,430500,424100,416800,411100,408000,406200,404700,404200,402700,407100,415700,420200,417800,416900,416500,415300,412300,409800,408300,406700,405400,404000,401800,399300,397600,395200,393000,391500,389700,387600,384800,381400,378100,374800,372100,371300,372500,375000,378800,382700,386700,390300,393500,396500,401100,406000,409700,414000,421600,430500,439000,447200,454900,461300,467500,472400,476100,479100,481800,484900,489200,493000,496600,500100,504000,507900,511200,513800,515700,517700,520800,524600,527800,530700,533300,536700,540700,544000,546600,550200,554800,558300,561200,564900,569300,574600,579100,582800,586200,588900,591700,596800,603100,608100,611500,616000,621900,627200,631500,634600,636300,639300,644700,650800,657000,662100,667000,671000
46298,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,33,148800,149300,149100,148400,147600,147300,147600,148100,148900,150200,151600,152400,152600,152800,153000,152900,153000,153800,155200,156800,158300,159900,161700,163200,164300,165400,166800,168000,169400,171200,173100,174200,174800,175800,176700,177600,178600,180200,181800,183400,185000,186400,187900,190100,192700,195500,198300,200900,202800,204700,207000,210000,212300,213600,214900,216500,217800,219300,221300,223400,225100,227100,229500,231600,233200,235000,237000,239100,241800,245400,248600,251900,255900,259900,263800,268800,273900,278700,283700,288500,292700,296600,300200,303900,307900,312100,315700,320400,326800,334000,339900,345500,352200,360200,369400,379400,390200,401600,413100,423600,432600,439200,444600,450800,457900,464800,471800,478700,485100,491100,497200,503900,512200,521400,530900,539400,544900,547000,548500,550200,551800,554000,556600,557500,556500,554500,551700,548800,545600,543000,541600,540600,538600,536000,532800,528700,523200,517100,511800,506800,499300,489700,480000,470900,461100,451400,442200,434800,429200,424300,419600,415700,411400,406800,402700,398900,394200,388900,384400,382000,380900,380400,380900,380900,385600,393200,397100,395300,394500,394300,394900,393700,392100,391700,391600,389300,385300,382400,380900,379600,377200,374500,371000,365500,359200,354500,351800,349900,348500,347200,346400,347500,351400,356300,359600,363400,368700,372600,374700,378700,384400,388700,392300,398400,405700,412600,420600,429200,436400,441400,443500,444100,444200,446000,449500,453400,456000,458500,460300,461800,462000,461900,463500,465500,466500,468200,471400,474500,476500,478200,480200,483300,486500,489500,492500,496800,500900,504300,507400,510800,513800,515900,518200,520900,523800,526600,530600,535700,539800,541800,544100,547700,551200,554500,558200,561000,564400,569300,574400,578600,580900,582000,583000
45457,Glendale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,121,202400,203400,204700,205400,205500,205600,205300,204700,204600,206200,207600,207600,206700,206300,206300,207500,209500,212200,215300,218700,221700,225100,228700,231100,232500,234800,237400,239500,241600,243500,245900,248400,249700,250200,251400,252900,254800,257900,261300,263900,266000,267800,269000,270200,271700,273600,275500,278400,281400,283500,284900,287000,289000,290600,292300,294900,298400,302100,305600,308800,311000,311700,312400,314600,317600,320300,322900,325600,327700,330400,333500,337500,343000,350100,357100,362900,367100,371900,377800,385300,393100,399700,404800,409200,413200,417200,422000,427800,435100,442600,449700,456300,463900,472500,482600,493700,506100,518600,530300,540300,549700,558100,565500,572200,578900,586100,594600,603100,611800,621500,630200,637500,645200,653800,662000,669300,674500,677800,679800,680800,681000,682600,685900,688200,687700,686500,684600,681400,678100,677900,679200,680400,679800,677200,673300,669300,665100,659300,653100,646400,640700,634900,627700,618400,608400,597700,586100,575700,568200,563000,558900,556000,554300,553300,550900,546700,541900,536300,531500,529500,529900,531800,534000,536000,535400,533500,533000,532600,530400,528400,526900,525600,526700,529000,531400,531500,530500,528400,526100,523300,520200,516100,514000,514200,513100,509200,503500,498500,494800,491900,489800,491700,496400,501000,504200,508000,510400,510200,511000,515000,520000,524900,528900,533500,541400,554700,568700,577400,580900,584800,588700,592200,595300,598700,602700,608800,615500,622100,627700,632300,635500,638200,641600,646400,652100,658300,665300,670700,672500,672700,674100,676300,679100,683000,688100,692900,697300,701600,707200,713900,722600,728500,731600,733100,735500,738700,742500,746500,751300,756800,762700,767500,770700,773000,775000,776600,780800,788200,794500,798300,803400,811300,816500
5534,Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,137,92300,91700,91100,90600,90400,90500,90300,90100,90500,90900,91000,91100,91600,92400,92700,92600,92300,91900,91300,91000,91100,91500,91800,92100,92400,92700,93500,94500,95400,96400,97400,98200,98400,98600,99100,99600,99700,100300,101600,103300,104700,105800,107900,110100,111300,112200,113100,113700,113800,113600,113600,114000,114800,115500,116500,117800,119600,121600,123700,124700,125300,125700,126300,126700,127200,127600,128000,128600,129800,131300,132800,134800,137200,139400,140700,141800,143200,145200,146800,148200,150000,152100,154800,158400,162400,165500,168000,170800,173800,176700,180000,184100,188300,192100,196200,201200,207800,216300,225800,233900,240100,245700,251400,256400,260700,264800,269000,272700,276200,279800,283600,288300,294700,302500,309800,316300,320300,322100,323400,324900,325900,327500,330500,333800,335500,335900,335600,335200,332700,329500,327500,326400,324200,321800,319100,315400,310500,305300,300800,297100,290800,282700,276200,270900,263200,254400,245600,237100,229600,223600,218500,213900,207700,200400,194400,189100,182800,176700,170700,164900,160100,155900,151100,145900,148800,158000,162000,159700,160000,159900,157900,157200,158300,158100,156700,155000,151500,147200,145400,144800,144000,143600,143200,141700,139800,139000,139300,139400,139400,138900,137600,137200,137900,138800,140600,143300,144800,145300,146400,148200,149300,149800,151100,154000,156900,160900,166400,171700,176200,179500,180800,182600,184800,185600,186000,187000,188200,189800,190700,191800,193500,195100,196800,197700,196700,195600,197100,199300,200300,200400,200700,200700,200700,201800,203900,206100,207800,209500,211900,215100,217500,219200,220700,222100,223000,224800,227900,231700,234100,235700,237900,241200,244100,247200,250200,252500,255000,258500,262400,266800,270100,272500,274200
40227,Palmdale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164300,163900,164400,163500,160600,158300,158200,157900,156800,155800,154500,152500,150500,148900,147000,146300,146700,146600,146000,146400,146900,147200,148700,150600,152600,154600,156300,158000,159300,160000,161000,164200,168800,174500,180100,185200,189700,193500,196000,197800,198300,198000,198600,200900,203800,206700,209000,211600,213700,215900,218500,220800,222000,222900,224500,226200,227600,229100,230700,232200,233300,234100,235400,237400,238400,238900,240500,242900,245400,247400,249200,250800,252100,253500,255900,259000,261400,263100,265700,269100,271600,274100,277200,280300,283300,286700,289900,293600,296900,299300,301100
54311,Santa Clarita,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,173,173700,174100,173900,173100,172500,172400,172700,173300,174000,174700,175700,177100,177900,177900,177700,177600,177500,177900,178500,178800,179500,180700,182300,183500,184300,184900,185800,187100,188700,191000,194000,196900,199100,201400,203400,205200,206900,209000,211500,213900,215700,216500,217500,219000,220600,222700,224700,226000,227000,228400,229400,230500,232200,233300,233500,234200,235600,237300,239300,241300,242700,244100,245900,246900,246800,246900,248100,250400,253300,256100,259000,261800,264500,267400,270800,274700,279400,285800,292400,298200,303800,309500,314400,319400,324200,328300,332400,338100,344900,351200,356700,362100,367700,373700,380700,388200,397100,407700,418600,428000,435900,442400,447600,452100,456000,459200,463000,468200,474500,481400,489600,499400,509200,517600,524900,531200,535100,536800,538300,541200,544400,547100,547900,544900,539600,535100,532000,528800,525300,522700,521200,518700,515700,512800,508100,502800,498100,493600,489800,485600,478300,468500,459300,450600,440900,429800,417900,407400,399900,394500,389900,386000,380800,375300,370600,366500,361500,355600,350700,348800,349000,348400,347200,346600,351600,359700,364100,363600,363400,364000,365700,365800,363800,361500,358400,354300,351400,349700,347000,343600,340100,336600,333600,330900,328100,325400,323700,322500,320800,318700,317700,317900,318800,320500,323400,326300,327800,328300,328600,330700,334700,338800,343500,350900,359900,369600,378600,386200,393300,400200,405200,408000,408800,409800,412100,415000,418500,422600,425700,427400,428700,430400,432900,434800,435500,436300,438700,441500,443200,444000,445500,447800,449900,451800,454600,458700,461900,464100,466400,469100,471600,473500,474700,475800,478200,482000,486900,491800,495000,496900,499700,504100,508200,511200,513400,515800,519400,524100,528500,533100,537000,540100,542300
20008,Pomona,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,174,114100,114400,114300,113900,113500,113400,113300,113300,113500,114100,114800,115500,115900,116300,116600,116800,116900,117200,117200,117100,117200,117800,118700,119300,119500,119400,119100,118500,118600,119300,120200,121300,122300,122600,122400,122100,122000,122500,123500,124400,124900,125300,126100,127600,129000,130100,131300,132800,134100,135100,136200,137200,137500,137300,137600,138200,139100,140800,143100,145000,146700,148600,150300,152200,154500,156500,157900,159300,160800,162100,163500,165200,167200,169200,171500,174300,177100,180000,183300,186700,190300,194200,197700,200800,203700,206600,209600,212800,216800,221700,227000,231700,236600,242200,248300,254700,261900,269600,277900,286100,294000,301800,309200,315800,321100,325700,330900,336900,343300,349500,355600,362600,370100,377300,382800,388300,393000,396300,399200,402700,405800,409100,412400,415200,417300,417700,416100,414600,413600,413000,413600,414300,413300,411000,407900,403600,398500,393200,389000,384900,378500,370400,362900,355800,347200,337700,328400,319300,309400,299900,291000,282700,273800,264800,256600,248500,239000,229100,220600,214400,210200,207400,206000,204800,207300,212600,214900,215000,218400,222300,224100,225700,227000,227100,227100,227300,226100,224800,224000,222800,221900,222700,223200,221400,219700,218700,217500,216600,216400,216000,216000,216800,218100,220300,223100,226300,229800,233300,235500,238100,240800,242400,244500,249200,255100,260900,266800,272700,278400,284300,288900,292000,295200,299700,304400,308200,310000,310400,312400,315900,318400,319600,321800,323900,324800,325900,327800,328100,327300,327200,328200,329800,331800,333500,335300,337800,339700,340700,343100,347400,351100,353200,354200,355300,356700,359300,363000,367300,370500,372700,375400,379500,384300,389000,393600,395700,396500,398400,401900,405700,409200,412200,415000
47019,Pasadena,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,196,202000,200800,198500,196500,195600,195000,193800,193300,194000,195400,196100,195700,195000,194900,195400,196500,198800,201500,204200,206500,208000,209900,212300,214600,216800,219600,221900,223500,224900,226600,229000,231000,231700,231900,232700,234100,236100,238900,242100,245200,247000,247800,248600,249600,251600,255400,260200,263800,265900,266700,268100,270300,273100,276600,280000,282100,284000,286500,288300,290000,291700,293700,296200,299300,302000,304600,308300,313000,317800,322100,326800,331900,336600,341800,348000,353700,358300,362500,367600,375100,382900,389000,393600,398400,403800,408500,411700,415700,421800,428900,436000,443300,452100,461200,469600,479400,493400,509400,523900,535500,545000,552500,556800,558800,561100,565600,572600,579800,585200,591800,601600,613000,623300,632200,639100,644200,648800,653500,656400,657600,658600,659800,660600,660500,658900,657100,657100,659200,660400,661500,663700,667100,668800,668100,665400,662700,661000,658400,654300,648600,642600,636600,631100,624300,616000,606200,596300,587100,579200,573300,569000,565600,563000,561500,559100,554800,549300,542800,537900,536500,537500,539600,542800,546000,546200,542400,537800,533100,530300,530200,529600,526000,524300,525100,527700,527300,524800,522700,522000,521500,520400,517600,514300,512600,510900,506500,499700,495100,493700,493200,492000,492800,496400,501900,507700,513700,516900,518000,519100,523900,530400,537800,545500,554400,561900,569100,576700,583500,589200,595000,599600,603600,606300,608300,612100,617900,622700,627500,632100,635500,638900,643800,649600,653100,654900,657600,661300,664500,667100,669800,673200,676300,678400,679200,679700,680400,683000,687500,692300,696200,701200,704700,707200,708800,709900,711700,715600,720000,725500,731000,735800,740700,747300,754200,758900,760600,763500,769700,777000,783400,790400,798300,803300
54722,Torrance,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,197,230200,231700,233200,234200,234300,234200,235000,235800,236000,237000,238300,239100,239900,240600,240900,242200,245100,248200,250900,253800,257400,261100,264000,265600,266900,269700,273800,277500,280800,283800,286000,286200,285300,285200,286600,288300,289500,290900,292900,295200,297000,298800,300400,302800,305900,309600,313800,317800,319800,321100,323100,324300,323600,322600,322900,325100,329000,334000,338500,341900,344300,345600,346000,346600,348600,351300,355100,359800,363500,365800,367700,370000,374600,382300,390200,397900,406400,415000,421900,426400,429900,433600,438400,444300,450500,454600,457600,462300,470300,479800,489600,500000,511400,521000,528500,536600,545900,557100,569600,581700,589900,595900,600800,605200,609600,616000,624600,634100,643500,651500,658100,664900,671900,678100,684100,689800,694700,699300,703000,704200,703100,700800,699700,698300,694900,691300,689300,688100,684900,681700,681100,682700,684400,685800,685000,682000,679300,675900,669800,661500,654500,648700,642100,633300,625000,618500,611500,603200,596000,590900,586800,583500,580400,577900,574600,570000,564500,558100,553700,554200,557300,560400,565100,571000,576200,579700,582300,583300,584100,584100,582900,580400,578900,577900,577500,576700,576000,575100,573600,571600,568600,566100,566700,567900,565800,560900,554700,549700,545700,543100,542300,544200,548900,556000,562100,566700,571100,573900,574100,575700,580500,585300,589700,597600,607000,615500,622400,627800,631000,636100,642100,647200,650800,654300,658300,662100,663100,663000,664800,667100,668600,672300,678100,682300,684100,687000,690000,691900,693700,696100,698400,701900,705000,706800,709200,713000,717600,722300,727500,732900,739400,742800,741700,737800,737800,741900,748100,753800,757700,759600,762800,767700,772600,777600,783300,788700,794600,801200,806800,811600,816300,821300,824800
45888,Inglewood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,208,144600,145100,144700,143900,143400,143200,143000,142700,142600,143000,143700,144500,144500,144100,144200,144600,144600,144700,144700,145000,145900,147200,148300,149200,150200,151300,151900,152000,152400,153400,154800,155800,156200,156400,156900,157300,157600,158200,158700,159300,159900,160200,160600,161400,162200,163500,165200,166400,167200,168300,169900,171800,173400,174600,175700,176800,178300,180200,181700,182900,184300,186300,188300,190200,192000,194100,196600,199200,201000,202400,204500,207100,209700,212900,216300,218600,220700,223500,227200,230900,234400,237700,241200,244700,248400,252100,256000,261100,267000,273100,278000,282000,287000,293700,301700,310700,319800,327700,335100,343100,350500,356400,362200,369600,377900,385600,392200,399000,405600,411000,416100,422300,430300,438900,447200,456000,465200,471400,474500,477300,482200,489300,496800,502500,505600,507700,509200,509700,509400,509700,510900,511800,511500,510400,508600,506100,503000,499300,495500,490400,482400,473100,462800,450600,437700,425800,413800,401900,390900,381200,372100,363000,354200,346000,338000,329800,321400,312300,304100,298600,295700,293600,291900,290200,288900,288300,289200,289900,289400,288600,287700,285600,282800,279900,277400,276500,276500,276400,275600,274500,273000,272100,271500,271500,271100,269900,268000,265700,264100,263300,263500,264800,266900,269900,273300,275800,277900,280500,283600,286800,289500,291700,294500,299000,304200,309800,315500,321100,325900,330200,333000,335200,338000,341800,344600,347200,350900,355400,358100,360000,362500,366300,370900,374800,376900,378500,382100,386700,390200,391800,392700,393900,396000,398500,400600,402900,406000,409800,412600,414700,417800,419900,426200,434300,437900,436700,438300,441500,445700,449000,452100,457200,464700,473100,479000,482600,487300,493200,497900,503100,510400,518400,523500
