City,Population as of (2010  Census),State,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
Agoura Hills,20330,CA,2132,255600,261300,266200,268500,269900,272300,274500,275600,277600,281700,284400,284000,283000,283300,283300,284900,287800,287900,286800,286700,288700,293600,300300,303400,303600,304300,307900,313300,318200,320000,320800,320900,320400,319900,321800,325700,330900,335500,338500,341300,344900,350200,355800,361500,364800,366900,370700,375900,376300,375600,376500,379400,383100,388000,392800,396900,398700,401100,405400,410300,413900,413000,409300,407600,408700,410300,413200,417000,423300,432000,439400,444600,449600,451800,453200,456600,460500,465400,473600,486000,498100,506200,513100,521400,529600,540700,550400,553900,556800,567100,581900,597500,611500,621700,625500,630500,641100,659100,681900,706100,723400,731300,733500,732400,733000,737600,745400,755300,768700,781900,793300,802200,813900,823700,825400,823200,822000,821900,824200,828800,833300,836800,839000,837300,830900,825600,824900,823700,819000,815500,815600,816200,815300,813000,806900,801100,795900,787100,777300,768200,759000,748700,736400,720200,704300,690600,677600,666600,660300,656000,651700,649400,647200,644000,641000,638700,636300,631500,627000,625800,627400,628700,630200,632300,640200,649200,649000,637300,626400,619700,617500,617300,617600,615500,611000,607000,604200,602900,607400,614500,610400,598500,589400,582400,573400,572900,577500,578200,574500,572600,568200,565900,571200,583600,596500,607200,613300,613500,614400,619900,625600,630300,639400,653600,668400,683500,695900,702900,708400,716100,721600,724200,726000,726800,726500,728000,728600,727300,729100,736700,744900,750600,753300,751100,747900,747300,753400,760200,769900,779700,784000,782500,781700,778600,775700,777100,780000,782800,786000,788400,790700,793300,793900,792600,792800,793000,794500,797100,799500,799200,799700,802900,809800,816000,818000,819700,825900,834500,841300,850300,859500,865500,867500
Alhambra,83089,CA,437,163700,165200,166300,166700,166600,166300,166400,166700,166900,167600,168200,168300,168100,167900,167700,167700,167600,167200,166800,167000,167500,168900,170800,172000,171700,171300,171500,172600,174100,175900,177800,179400,180000,180500,181600,182300,182400,182900,184000,185300,186900,188400,189500,190600,192200,194200,196100,197800,199600,201200,202000,202500,203900,206100,207900,209400,211600,214800,218300,221300,223200,224700,226100,227200,228200,229500,230800,231800,232700,234100,235900,238700,243300,249200,254800,259600,263100,266100,269700,274300,279400,283800,287100,290100,293300,295700,298300,302200,307400,314200,323400,332700,340500,348000,355100,362400,370700,380200,390500,400300,408100,414400,419400,424500,430200,435700,441800,449800,458000,465300,472900,481400,489400,496300,503200,510800,517000,520600,523200,524000,523300,522100,522100,522800,524100,523900,521400,517800,515600,515500,516800,519000,521900,523900,522600,518500,514500,510500,504200,496100,487400,479100,470500,460800,452600,446900,442100,438000,434900,432000,429500,427900,426800,426400,425900,424700,423500,422100,421600,423500,425300,426000,427900,430700,432700,435400,440000,444200,446000,445000,442900,440800,439900,439900,440900,443700,448600,451200,450200,446300,440100,435000,431600,426900,421900,420200,419600,417600,415600,415300,415400,416100,418000,420000,422000,423600,425100,426300,428700,432100,433900,432800,434200,440700,448800,458400,467400,475600,483500,490500,492100,491900,491700,494100,500700,509400,516400,520400,526100,534400,539500,542600,546100,546400,546800,548800,547700,545700,546700,548500,550800,553600,555200,554600,555600,557800,560000,562500,564800,565700,567700,571900,571700,568500,568600,571900,575000,580800,587400,592800,597000,600000,603400,606700,609100,610400,612800,616300,620700,626000,632400,638200,641800
Arcadia,56364,CA,664,265100,265900,267000,268600,269800,270300,270900,272400,274500,276900,278100,277800,276800,276500,278100,281000,283700,285700,286800,287800,289900,293500,296900,299500,301300,302600,303100,304600,306100,306800,308300,311200,313000,313000,313100,314600,316500,318700,321100,322300,322700,325100,329100,333400,337400,342300,347900,351300,352900,354600,356700,358300,359300,360100,361700,364100,367200,371600,374500,374400,373400,374400,377000,380600,384600,387800,390300,392100,392900,394200,396600,400800,408000,416600,424600,431500,438000,444700,451200,456300,461400,467300,474700,483900,491800,496400,498500,501800,509200,520200,529900,539400,549800,558500,566700,577500,592300,607900,623700,637600,648700,655700,661700,667800,674300,681300,686700,691900,699400,710300,720300,729900,740300,749000,756100,763600,770000,771400,774000,780100,783000,781400,782000,781400,777000,775100,775700,773800,765900,759900,761200,765100,764700,762700,760600,759000,756400,751900,749100,748500,743900,736600,730000,721900,712500,705500,700200,696400,693700,691200,690100,691000,690000,687500,686800,687100,685600,683100,682600,687900,696100,700700,703000,706000,728000,759300,775700,777100,782400,785700,785500,780500,775600,774600,770100,767300,768300,769800,769300,769400,768300,768200,767600,768600,767600,767300,769200,769200,764900,763000,762300,762800,764600,767000,770600,774700,779900,785800,792700,801900,810600,817200,826500,837700,849600,865100,886800,905800,923100,943700,970600,987700,991000,990800,1001200,1026000,1056400,1080000,1090100,1098100,1112900,1124100,1122400,1116700,1120000,1128900,1131300,1123500,1113600,1104500,1106300,1115100,1111700,1095600,1083800,1081500,1077700,1065900,1055500,1051900,1048300,1052100,1044300,1026600,1019200,1028800,1037800,1053000,1065000,1072500,1080900,1092700,1104600,1115700,1126800,1136800,1143800,1147800,1159000,1162400,1150400,1142500,1149600
Artesia,16522,CA,2713,149600,150000,149600,148900,148800,149000,149200,149700,150100,150500,151000,151500,151400,150800,150600,150400,150100,150000,150300,150900,152400,154300,156100,157100,158000,159500,160800,161500,162000,163100,164700,165600,166100,166800,168100,169400,170400,170700,170800,170500,170400,171300,173100,175500,177800,180100,182100,184200,186400,189200,192300,195400,197200,197700,198300,200800,204000,206200,206900,207400,207700,208000,209800,213900,219000,223700,226700,228100,229000,231400,234800,238300,241400,244900,248400,251600,253800,256400,261000,266700,271300,275400,280000,285500,292300,297800,301700,306500,313300,318600,322500,326900,333300,341100,350300,359800,368400,377100,385700,393500,401000,408100,414300,419200,424100,428900,433000,437300,443500,452400,461600,470200,479900,493100,505700,515800,522200,524400,526300,531300,535200,538700,542500,544100,541700,536300,530100,525000,523100,524900,526700,524200,522600,520800,517100,510000,501400,494000,490000,484600,475500,464300,452400,440300,427900,415800,404200,395100,388800,383600,379000,375400,371800,368100,364600,361000,357100,352300,347600,345500,344700,343600,342300,341400,341900,343700,346500,349900,351300,350700,351600,353000,355300,356900,356000,354700,355700,355700,352300,347300,343100,339700,334700,328700,322500,318800,318300,319300,318400,318000,319300,319700,318900,320700,326000,331500,334500,336000,336600,336600,337800,340600,343300,346000,352200,361400,371400,379500,386100,389300,390000,390100,391100,392200,394000,398700,404800,409300,412600,417400,421400,423800,425800,427500,427800,427700,429900,434600,438100,437100,437300,439500,441900,444600,449700,455100,458700,461700,466400,472800,478800,485000,483600,478400,479300,486200,491900,497900,504400,510600,516800,522800,528300,532400,537400,541600,543900,546400,549000,552200,557800,564600,568100
Avalon,3728,CA,7674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431900,434200,435500,431800,427300,429100,431800,430800,432500,444000,465200,482900,487300,486800,489600,500000,522500,554700,570100,567600,567200,573200,576600,585700,599100,609200,620700,638800,655800,666100,676800,691800,706200,712100,711800,717800,729000,735200,739000,737800,725500,721100,737000,747700,742300,732600,720800,704400,698400,699200,698000,694000,695900,692100,676700,658700,652900,652300,646900,636300,622200,608400,597600,594300,587400,578000,574400,580900,587800,594000,598400,601100,600800,600600,601400,603800,597900,588400,583800,585400,579300,577100,592200,611100,603000,570200,552700,552500,552800,551500,552000,548500,547800,549000,552900,562400,582500,610500,617100,594800,585700,598200,592600,554900,514500,495400,484600,470800,465000,468100,460700,452100,454300,451700,447400,462100,477700,470700,454800,441900,429700,426300,438600,461200,475800,477500,481900,490700,505800,516000,510800,499100,502400,510200,511400,504400,498800,498200,500400,499900,500100,501500,510600,528300,543500,548700,558600,573600,577600,569800,560700,556300,556300,560700,565700,568800,566500,564000,565100,566500,562500,559600,561100,565200,569400,576700,584300,586000,581500,577700,574900,574700,576600,583300,594000,604700,609500,611400,611200,613200,614100
Azusa,46361,CA,765,133400,132800,131600,130200,129100,128100,126900,126400,126700,127300,127900,128400,128500,128700,129300,129800,129700,129900,131000,132100,133000,134000,134600,134200,133400,132700,132300,132700,134000,135800,137500,138400,138500,138100,138000,138300,138800,139900,140900,141000,140600,140000,139900,140700,142200,144000,145900,147900,149600,151000,152000,153100,154300,155600,156900,158100,159800,161900,163700,165600,168100,170400,172200,174100,176400,178600,180400,181600,182600,183700,185400,187900,191300,194300,196200,198400,201700,205100,208300,212200,216400,220300,224100,227900,231500,234600,238400,242700,246500,250700,255900,260800,265900,273000,281400,287900,292300,298000,306500,316200,326000,334500,341200,347100,352800,357100,360300,363700,369100,377700,386900,394000,399600,405100,410300,416400,422600,426500,429200,432900,436000,438200,441400,445100,447200,447900,448800,449100,448700,449100,449500,449600,450500,450400,448100,444400,440300,435700,431100,425300,416000,406200,396900,387800,378600,368800,356600,346200,338800,332300,325100,318300,311800,305800,300100,293900,287500,280800,274400,269600,266500,264600,263800,263400,263700,265100,267900,271600,274900,276400,276800,275300,272000,269700,269600,271200,274000,276100,276600,274700,270000,266300,265200,263900,262100,260500,258600,256300,255600,254900,253400,251900,253800,258100,263100,267300,270800,273900,276400,278800,280400,281700,284500,290600,297400,303500,310000,317200,324000,329300,332600,335000,337600,340900,344000,346500,348100,348800,348200,349100,352300,355400,356800,356300,355600,355700,356900,358700,362300,366500,368800,369500,370600,372600,375100,378100,380700,382900,385200,388400,391800,393200,396400,401200,403000,401300,401400,403800,407100,410600,414100,416900,418400,420100,422200,425200,429000,433600,437900,442100,444800,446400,447500
Baldwin Park,75390,CA,530,129300,129000,128100,127400,127000,126600,125800,125000,124700,125100,125900,126600,127000,127100,127000,126800,126600,126600,127100,127900,128800,129900,130700,131000,131000,131500,132000,132000,131800,132400,133300,133800,133900,134000,134500,134800,135200,136100,137100,138000,138800,139500,140000,140800,141600,142300,143400,144700,146000,147100,147800,148700,150000,151300,152600,153800,155200,156800,158000,158800,160000,161500,163000,164300,165500,166900,168600,170000,171000,172500,174600,177100,179400,181300,183400,186000,188500,190700,193400,197000,201000,205100,209300,213500,217500,221600,225500,228600,232200,236900,241800,246900,252600,258300,263800,269600,275300,281600,289100,298200,307900,315800,321400,326400,332700,339400,345600,351500,357600,364100,371600,379700,386400,391800,397000,403200,408500,412500,416000,420000,423900,428100,432100,434800,436500,438700,441600,443500,442700,440800,440200,440600,441000,440100,437600,433700,429600,426000,422600,417400,409600,401300,392000,381200,370000,360300,349900,339300,330600,323700,316600,309300,302100,295500,289400,282600,275600,268400,261900,257200,254500,252700,251300,250500,252900,257300,260700,262900,266600,269300,270900,272300,272300,270800,269600,269800,269600,268700,267500,266200,263000,258900,256100,254700,252800,250200,248200,247100,246300,245100,244300,244900,247200,251800,257300,261500,264500,268500,272300,275900,278300,279900,282300,287300,293000,299300,306700,312700,317100,320000,322200,324100,327100,331000,335600,339400,341700,342300,342200,343600,347400,351800,354800,355200,354100,353800,354700,356000,358700,362100,364000,365300,367600,370400,373300,376500,379800,383300,386900,390600,394200,396700,399600,402200,403300,403700,405700,408200,410600,412600,415700,419600,422600,423800,424300,425400,428000,431600,434200,436800,440000,443900,445900
Bell,35477,CA,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290000,287500,286200,287000,286400,283600,279400,276900,275200,275000,276500,277700,276000,273500,272800,273200,271300,267300,265500,268400,273100,276600,279700,283400,287200,289800,291500,293300,294700,295400,297900,303300,308600,314800,323300,331100,336300,340100,343400,345900,346400,346700,348500,350200,351500,355200,360800,366500,371400,375100,378700,381000,381900,383100,386200,389700,392000,391400,392000,395000,398000,399300,401600,404300,406800,409400,412400,415400,418200,422000,415600,405600,406700,416800,422900,429100,433000,434700,438400,444600,450300,455600,461800,467500,471400,474000,476200,479000,481600,482700,482900
Bell Gardens,42072,CA,1047,142600,141700,140200,138900,138500,138000,137000,136000,135300,135000,135500,136100,135800,135400,135500,136500,137600,138500,139600,140800,141700,143000,144100,144400,144600,145100,145500,145200,144700,144600,145000,145700,146000,145600,145200,145300,145800,146700,147800,148800,149000,149100,149900,151100,152100,153000,153800,154600,155800,156800,157200,157400,157400,157200,158000,159300,160800,162600,163900,164300,165000,166700,168600,170200,171700,173000,173600,174300,175300,176800,178800,181100,182900,184100,185500,187300,189400,192300,194900,198200,202200,206300,209400,212700,215900,219700,223300,226600,230200,235200,240200,243500,247000,252600,259600,266900,274300,281200,289300,299200,309800,318900,326600,334200,341400,346800,352100,358700,366900,375200,382300,389100,396900,404900,412700,420100,424700,427700,431500,435400,439300,445000,452000,457500,459700,459100,459500,461300,461900,462300,465000,467700,468500,468700,468400,467100,465400,463800,461200,456600,448900,439800,430800,420900,409500,398300,383600,367300,354800,346700,338900,331100,322000,313200,305900,298700,290800,282700,275500,269600,266100,264400,264200,263700,269800,279500,285800,287100,288900,289600,290500,291500,290300,286900,283200,282500,282000,278800,273600,271000,268100,265400,265600,268300,269900,269700,268800,267200,265200,263700,263000,263400,267400,270500,272500,275700,278200,278400,280700,283800,285800,288300,293000,298400,303100,308900,315500,319800,324300,329500,332900,332900,332000,332900,337500,342100,343800,347300,355300,363100,366800,368600,368900,370400,374400,378600,378000,377000,379200,382800,383600,385900,388000,389100,391200,395700,400200,403700,406300,410600,417400,423000,419200,412300,413900,423000,431100,438100,441500,441500,446100,453400,458400,463000,470200,474700,477900,482100,487100,491500,494700,497000,498800
Bellflower,76616,CA,495,150700,150700,150500,150200,150100,150200,150400,150700,151100,151600,152000,152400,152500,152500,152400,152100,151800,151500,151400,151600,152600,154400,156300,157700,158400,158500,158500,158600,158800,159400,160600,161800,162500,162900,163800,165100,166500,167900,168800,169500,170200,170600,171300,172800,175200,178000,180400,182000,183400,185100,187200,189300,190800,191800,193200,194400,195100,196500,198000,199000,199500,200900,203200,206000,209100,212500,215600,218300,220600,223000,225600,228300,231500,235000,238200,241400,245100,248300,251800,256800,262400,266900,270600,274700,278800,282000,285000,288400,292900,298000,303000,307600,312900,318800,326900,337200,348200,359400,370800,381200,390200,397900,404200,409300,414900,421900,427500,431900,437400,443800,450300,457500,466000,476300,487100,495400,500800,504200,506800,509400,513500,519100,524800,528600,529600,527900,525400,523000,520100,517300,517000,517400,516600,514700,512200,508100,502600,496400,490400,484800,477000,468300,458800,447300,433500,419800,406000,394300,385800,379200,372700,366800,360700,355200,350100,344800,338800,332500,327100,323900,322100,321000,320800,321100,324700,329000,331600,333900,335900,336100,337300,338600,337700,337000,336700,336700,336100,334900,332700,330500,329600,328800,325700,322300,320400,318600,316700,314700,312200,309800,308800,308600,308600,310600,314100,316900,318600,320700,321700,322200,323900,326900,330000,333900,340200,347600,354900,361400,366400,368900,371000,373900,377700,382000,385800,388900,392000,394300,396400,398600,400600,402300,406200,409800,412000,413800,417000,419800,421100,421800,424000,425700,426000,426900,428700,431100,433400,435800,439500,443800,447400,451300,453100,454500,459000,463900,466100,468100,469700,470000,471300,475300,480200,483700,486900,491100,495500,500400,504900,509200,512500,515600,518100
