Crime_Description,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,Grand Total,Percentage,Location ,Lat,Long
ABORTION/ILLEGAL,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,1 ,4,0.00038%,"(33.786, -118.3032)",33.786,-118.3032
ARSON,331 ,335 ,303 ,315 ,245 ,14 ,9 ,70 ,71 ,1693,0.16146%,"(34.0036, -118.3319)",34.0036,-118.3319
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,158 ,197 ,128 ,128 ,116 ,1 ,1 ,46 ,31 ,806,0.07687%,"(34.046, -118.3453)",34.046,-118.3453
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",8344 ,7914 ,7526 ,6993 ,6922 ,62 ,115 ,2332 ,1814 ,42022,4.00756%,"(34.0623, -118.3462)",34.0623,-118.3462
ATTEMPTED ROBBERY,1363 ,1266 ,1132 ,979 ,818 ,10 ,12 ,267 ,267 ,6114,0.58308%,"(34.0817, -118.3091)",34.0817,-118.3091
BATTERY - SIMPLE ASSAULT,20513 ,19898 ,19810 ,18887 ,15242 ,117 ,166 ,4169 ,3619 ,102421,9.76771%,"(34.0344, -118.3497)",34.0344,-118.3497
BATTERY ON A FIREFIGHTER,13 ,16 ,22 ,17 ,28 ,0 ,0 ,10 ,8 ,114,0.01087%,"(33.7943, -118.2483)",33.7943,-118.2483
BATTERY POLICE (SIMPLE),460 ,451 ,414 ,353 ,393 ,2 ,4 ,99 ,114 ,2290,0.21839%,"(34.0761, -118.3563)",34.0761,-118.3563
BATTERY WITH SEXUAL CONTACT,1025 ,1008 ,1011 ,914 ,852 ,19 ,46 ,340 ,222 ,5437,0.51852%,"(34.0423, -118.2155)",34.0423,-118.2155
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065",2 ,1 ,1 ,6 ,3 ,0 ,0 ,1 ,1 ,15,0.00143%,"(34.2179, -118.5014)",34.2179,-118.5014
BIGAMY,2 ,1 ,2 ,1 ,2 ,1 ,0 ,0 ,0 ,9,0.00086%,"(34.1017, -118.3093)",34.1017,-118.3093
BIKE - ATTEMPTED STOLEN,0 ,1 ,0 ,1 ,1 ,0 ,0 ,1 ,2 ,6,0.00057%,"(34.0853, -118.3222)",34.0853,-118.3222
BIKE - STOLEN,163 ,263 ,631 ,805 ,997 ,22 ,38 ,483 ,395 ,3797,0.36211%,"(34.0421, -118.2469)",34.0421,-118.2469
BOAT - STOLEN,36 ,36 ,28 ,27 ,23 ,1 ,1 ,6 ,1 ,159,0.01516%,"(34.2429, -118.485)",34.2429,-118.4850
BOMB SCARE,146 ,89 ,108 ,110 ,83 ,1 ,3 ,28 ,15 ,583,0.05560%,"(34.0512, -118.2176)",34.0512,-118.2176
BRANDISH WEAPON,754 ,748 ,753 ,717 ,630 ,14 ,22 ,540 ,428 ,4606,0.43927%,"(33.8202, -118.3089)",33.8202,-118.3089
BRIBERY,10 ,5 ,5 ,3 ,1 ,0 ,0 ,0 ,1 ,25,0.00238%,"(34.0528, -118.373)",34.0528,-118.3730
"BUNCO, ATTEMPT",26 ,33 ,22 ,32 ,28 ,1 ,2 ,24 ,33 ,201,0.01917%,"(34.1049, -118.4366)",34.1049,-118.4366
