State_County_FIPS,State_FIPS,County_FIPS,County_Name,State_Name,Total
'01003','01','003',Baldwin County,Alabama,-91
'01015','01','015',Calhoun County,Alabama,-35
'01023','01','023',Choctaw County,Alabama,-3
'01031','01','031',Coffee County,Alabama,-9
'01039','01','039',Covington County,Alabama,-16
'01041','01','041',Crenshaw County,Alabama,-14
'01045','01','045',Dale County,Alabama,-11
'01053','01','053',Escambia County,Alabama,14
'01055','01','055',Etowah County,Alabama,-22
'01069','01','069',Houston County,Alabama,-4
'01071','01','071',Jackson County,Alabama,13
'01073','01','073',Jefferson County,Alabama,-40
'01079','01','079',Lawrence County,Alabama,-14
'01081','01','081',Lee County,Alabama,45
'01087','01','087',Macon County,Alabama,-38
'01089','01','089',Madison County,Alabama,-112
'01091','01','091',Marengo County,Alabama,-7
'01097','01','097',Mobile County,Alabama,97
'01101','01','101',Montgomery County,Alabama,-51
'01103','01','103',Morgan County,Alabama,-70
'01105','01','105',Perry County,Alabama,-9
'01113','01','113',Russell County,Alabama,-17
'01117','01','117',Shelby County,Alabama,-17
'01125','01','125',Tuscaloosa County,Alabama,-9
'02013','02','013',Aleutians East Borough,Alaska,-15
'02016','02','016',Aleutians West Census Area,Alaska,-7
'02020','02','020',Anchorage Municipality,Alaska,653
'02068','02','068',Denali Borough,Alaska,35
'02090','02','090',Fairbanks North Star Borough,Alaska,6
'02110','02','110',Juneau City and Borough,Alaska,-5
'02122','02','122',Kenai Peninsula Borough,Alaska,66
'02130','02','130',Ketchikan Gateway Borough,Alaska,1
'02150','02','150',Kodiak Island Borough,Alaska,55
'02170','02','170',Matanuska-Susitna Borough,Alaska,20
'02180','02','180',Nome Census Area,Alaska,-8
'02185','02','185',North Slope Borough,Alaska,-7
'02188','02','188',Northwest Arctic Borough,Alaska,-6
'02195','02','195',Petersburg Borough,Alaska,18
'02261','02','261',Valdez-Cordova Census Area,Alaska,25
'02275','02','275',Wrangell City and Borough,Alaska,26
'02290','02','290',Yukon-Koyukuk Census Area,Alaska,-3
'04001','04','001',Apache County,Arizona,-29
'04003','04','003',Cochise County,Arizona,-24
'04005','04','005',Coconino County,Arizona,-542
'04007','04','007',Gila County,Arizona,-63
'04009','04','009',Graham County,Arizona,-64
'04012','04','012',La Paz County,Arizona,-35
'04013','04','013',Maricopa County,Arizona,-2240
'04015','04','015',Mohave County,Arizona,-593
'04017','04','017',Navajo County,Arizona,-28
'04019','04','019',Pima County,Arizona,-391
'04021','04','021',Pinal County,Arizona,-225
'04023','04','023',Santa Cruz County,Arizona,-171
'04025','04','025',Yavapai County,Arizona,-286
'04027','04','027',Yuma County,Arizona,-250
'05005','05','005',Baxter County,Arkansas,-1
'05007','05','007',Benton County,Arkansas,-237
'05015','05','015',Carroll County,Arkansas,-22
'05017','05','017',Chicot County,Arkansas,12
'05019','05','019',Clark County,Arkansas,-12
'05027','05','027',Columbia County,Arkansas,-23
'05031','05','031',Craighead County,Arkansas,-53
'05033','05','033',Crawford County,Arkansas,-17
'05035','05','035',Crittenden County,Arkansas,-14
'05043','05','043',Drew County,Arkansas,-1
'05049','05','049',Fulton County,Arkansas,-2
'05051','05','051',Garland County,Arkansas,4
'05063','05','063',Independence County,Arkansas,-14
'05069','05','069',Jefferson County,Arkansas,-30
'05071','05','071',Johnson County,Arkansas,14
'05073','05','073',Lafayette County,Arkansas,-8
'05075','05','075',Lawrence County,Arkansas,-8
'05077','05','077',Lee County,Arkansas,30
'05085','05','085',Lonoke County,Arkansas,-16
'05097','05','097',Montgomery County,Arkansas,16
'05103','05','103',Ouachita County,Arkansas,-23
'05115','05','115',Pope County,Arkansas,-3
'05119','05','119',Pulaski County,Arkansas,112
'05123','05','123',St. Francis County,Arkansas,-8
'05125','05','125',Saline County,Arkansas,-45
'05131','05','131',Sebastian County,Arkansas,-8
'05139','05','139',Union County,Arkansas,-111
'05141','05','141',Van Buren County,Arkansas,-8
'05143','05','143',Washington County,Arkansas,-158
'05147','05','147',Woodruff County,Arkansas,-17
'06001','06','001',Alameda County,California,-910
'06005','06','005',Amador County,California,-122
'06007','06','007',Butte County,California,-360
'06009','06','009',Calaveras County,California,-34
'06011','06','011',Colusa County,California,-14
'06013','06','013',Contra Costa County,California,447
'06015','06','015',Del Norte County,California,-90
'06017','06','017',El Dorado County,California,-121
'06019','06','019',Fresno County,California,-2030
'06021','06','021',Glenn County,California,-24
'06023','06','023',Humboldt County,California,-846
'06025','06','025',Imperial County,California,-52
'06027','06','027',Inyo County,California,-112
'06029','06','029',Kern County,California,-5995
'06031','06','031',Kings County,California,322
'06033','06','033',Lake County,California,-111
'06035','06','035',Lassen County,California,-469
'06039','06','039',Madera County,California,-1068
'06041','06','041',Marin County,California,-272
'06043','06','043',Mariposa County,California,-56
