,State_County_FIPS,State_FIPS,County_FIPS,County_Name,State_Name,Total,Asian_Alone,Black_or_African_American_Alone,Hispanic_or_Latino,Other_Race_Alone_or_Two_or_More_Races
0,'01003','01','003',Baldwin County,Alabama,-91,0.0,0.0,0.0,0.0
1,'01015','01','015',Calhoun County,Alabama,-35,0.0,0.0,0.0,0.0
2,'01023','01','023',Choctaw County,Alabama,-3,0.0,0.0,0.0,0.0
3,'01031','01','031',Coffee County,Alabama,-9,0.0,0.0,0.0,0.0
4,'01039','01','039',Covington County,Alabama,-16,0.0,0.0,0.0,0.0
5,'01041','01','041',Crenshaw County,Alabama,-14,0.0,0.0,0.0,0.0
6,'01045','01','045',Dale County,Alabama,-11,0.0,0.0,0.0,0.0
7,'01053','01','053',Escambia County,Alabama,14,0.0,0.0,0.0,0.0
8,'01055','01','055',Etowah County,Alabama,-22,0.0,0.0,0.0,0.0
9,'01069','01','069',Houston County,Alabama,-4,0.0,0.0,0.0,0.0
10,'01071','01','071',Jackson County,Alabama,13,0.0,0.0,0.0,0.0
11,'01073','01','073',Jefferson County,Alabama,-40,0.0,-34.0,-8.0,28.0
12,'01079','01','079',Lawrence County,Alabama,-14,0.0,0.0,0.0,0.0
13,'01081','01','081',Lee County,Alabama,45,0.0,0.0,0.0,0.0
14,'01087','01','087',Macon County,Alabama,-38,0.0,-23.0,-15.0,-5.0
15,'01089','01','089',Madison County,Alabama,-112,0.0,0.0,0.0,0.0
16,'01091','01','091',Marengo County,Alabama,-7,0.0,0.0,0.0,0.0
17,'01097','01','097',Mobile County,Alabama,97,0.0,0.0,0.0,0.0
18,'01101','01','101',Montgomery County,Alabama,-51,-18.0,-100.0,14.0,14.0
19,'01103','01','103',Morgan County,Alabama,-70,0.0,0.0,0.0,0.0
20,'01105','01','105',Perry County,Alabama,-9,0.0,0.0,0.0,0.0
21,'01113','01','113',Russell County,Alabama,-17,0.0,0.0,0.0,0.0
22,'01117','01','117',Shelby County,Alabama,-17,0.0,0.0,0.0,0.0
23,'01125','01','125',Tuscaloosa County,Alabama,-9,0.0,0.0,0.0,0.0
24,'02013','02','013',Aleutians East Borough,Alaska,-15,-9.0,0.0,-6.0,0.0
25,'02016','02','016',Aleutians West Census Area,Alaska,-7,0.0,0.0,0.0,0.0
26,'02020','02','020',Anchorage Municipality,Alaska,653,80.0,-32.0,188.0,145.0
27,'02068','02','068',Denali Borough,Alaska,35,0.0,0.0,0.0,0.0
28,'02090','02','090',Fairbanks North Star Borough,Alaska,6,0.0,0.0,0.0,0.0
29,'02110','02','110',Juneau City and Borough,Alaska,-5,0.0,0.0,0.0,0.0
30,'02122','02','122',Kenai Peninsula Borough,Alaska,66,0.0,30.0,-4.0,-4.0
31,'02130','02','130',Ketchikan Gateway Borough,Alaska,1,0.0,0.0,0.0,0.0
32,'02150','02','150',Kodiak Island Borough,Alaska,55,0.0,0.0,35.0,24.0
33,'02170','02','170',Matanuska-Susitna Borough,Alaska,20,0.0,0.0,0.0,0.0
34,'02180','02','180',Nome Census Area,Alaska,-8,0.0,0.0,0.0,0.0
35,'02185','02','185',North Slope Borough,Alaska,-7,0.0,0.0,0.0,0.0
36,'02188','02','188',Northwest Arctic Borough,Alaska,-6,0.0,0.0,0.0,0.0
37,'02195','02','195',Petersburg Borough,Alaska,18,0.0,0.0,0.0,0.0
38,'02261','02','261',Valdez-Cordova Census Area,Alaska,25,0.0,0.0,0.0,0.0
39,'02275','02','275',Wrangell City and Borough,Alaska,26,0.0,0.0,0.0,0.0
40,'02290','02','290',Yukon-Koyukuk Census Area,Alaska,-3,0.0,0.0,0.0,0.0
41,'04001','04','001',Apache County,Arizona,-29,0.0,0.0,-7.0,-22.0
42,'04003','04','003',Cochise County,Arizona,-24,0.0,-78.0,51.0,6.0
43,'04005','04','005',Coconino County,Arizona,-542,-26.0,-35.0,-57.0,-35.0
44,'04007','04','007',Gila County,Arizona,-63,0.0,0.0,0.0,0.0
45,'04009','04','009',Graham County,Arizona,-64,0.0,0.0,0.0,0.0
46,'04012','04','012',La Paz County,Arizona,-35,0.0,0.0,0.0,0.0
47,'04013','04','013',Maricopa County,Arizona,-2240,-262.0,-407.0,-358.0,77.0
48,'04015','04','015',Mohave County,Arizona,-593,-8.0,-26.0,-144.0,-109.0
49,'04017','04','017',Navajo County,Arizona,-28,0.0,0.0,0.0,0.0
50,'04019','04','019',Pima County,Arizona,-391,75.0,1.0,-411.0,-192.0
51,'04021','04','021',Pinal County,Arizona,-225,-7.0,-80.0,-207.0,-82.0
52,'04023','04','023',Santa Cruz County,Arizona,-171,0.0,0.0,-167.0,9.0
53,'04025','04','025',Yavapai County,Arizona,-286,0.0,0.0,-110.0,-1.0
54,'04027','04','027',Yuma County,Arizona,-250,14.0,0.0,-252.0,-147.0
55,'05005','05','005',Baxter County,Arkansas,-1,0.0,0.0,0.0,0.0
56,'05007','05','007',Benton County,Arkansas,-237,-10.0,0.0,-125.0,0.0
57,'05015','05','015',Carroll County,Arkansas,-22,0.0,0.0,0.0,0.0
58,'05017','05','017',Chicot County,Arkansas,12,0.0,0.0,0.0,0.0
59,'05019','05','019',Clark County,Arkansas,-12,0.0,0.0,0.0,0.0
60,'05027','05','027',Columbia County,Arkansas,-23,0.0,-14.0,0.0,0.0
61,'05031','05','031',Craighead County,Arkansas,-53,0.0,0.0,0.0,0.0
62,'05033','05','033',Crawford County,Arkansas,-17,0.0,0.0,0.0,0.0
63,'05035','05','035',Crittenden County,Arkansas,-14,0.0,0.0,0.0,0.0
64,'05043','05','043',Drew County,Arkansas,-1,0.0,0.0,0.0,0.0
65,'05049','05','049',Fulton County,Arkansas,-2,0.0,0.0,0.0,0.0
66,'05051','05','051',Garland County,Arkansas,4,0.0,0.0,0.0,0.0
67,'05063','05','063',Independence County,Arkansas,-14,0.0,0.0,0.0,0.0
68,'05069','05','069',Jefferson County,Arkansas,-30,0.0,-20.0,0.0,0.0
69,'05071','05','071',Johnson County,Arkansas,14,0.0,0.0,0.0,0.0
70,'05073','05','073',Lafayette County,Arkansas,-8,0.0,0.0,0.0,0.0
71,'05075','05','075',Lawrence County,Arkansas,-8,0.0,0.0,0.0,0.0
72,'05077','05','077',Lee County,Arkansas,30,0.0,0.0,0.0,0.0
73,'05085','05','085',Lonoke County,Arkansas,-16,0.0,0.0,0.0,0.0
74,'05097','05','097',Montgomery County,Arkansas,16,0.0,0.0,0.0,0.0
75,'05103','05','103',Ouachita County,Arkansas,-23,0.0,0.0,0.0,0.0
76,'05115','05','115',Pope County,Arkansas,-3,0.0,0.0,0.0,0.0
77,'05119','05','119',Pulaski County,Arkansas,112,17.0,-48.0,27.0,-6.0
78,'05123','05','123',St. Francis County,Arkansas,-8,0.0,0.0,0.0,0.0
79,'05125','05','125',Saline County,Arkansas,-45,0.0,0.0,0.0,0.0
80,'05131','05','131',Sebastian County,Arkansas,-8,0.0,0.0,0.0,0.0
81,'05139','05','139',Union County,Arkansas,-111,0.0,0.0,0.0,0.0
82,'05141','05','141',Van Buren County,Arkansas,-8,0.0,0.0,0.0,0.0
83,'05143','05','143',Washington County,Arkansas,-158,-33.0,-56.0,-13.0,-33.0
84,'05147','05','147',Woodruff County,Arkansas,-17,0.0,0.0,0.0,0.0
85,'06001','06','001',Alameda County,California,-910,-352.0,-179.0,-309.0,-85.0
86,'06005','06','005',Amador County,California,-122,0.0,-30.0,-73.0,-29.0
87,'06007','06','007',Butte County,California,-360,0.0,8.0,-76.0,-14.0
88,'06009','06','009',Calaveras County,California,-34,0.0,0.0,0.0,0.0
89,'06011','06','011',Colusa County,California,-14,0.0,0.0,0.0,0.0
90,'06013','06','013',Contra Costa County,California,447,270.0,182.0,105.0,-28.0
91,'06015','06','015',Del Norte County,California,-90,0.0,-4.0,-8.0,4.0
92,'06017','06','017',El Dorado County,California,-121,22.0,-91.0,-198.0,-2.0
93,'06019','06','019',Fresno County,California,-2030,-484.0,-62.0,-1094.0,-662.0
94,'06021','06','021',Glenn County,California,-24,0.0,-8.0,0.0,0.0
95,'06023','06','023',Humboldt County,California,-846,-101.0,-106.0,-146.0,-64.0
96,'06025','06','025',Imperial County,California,-52,-4.0,25.0,-4.0,-55.0
97,'06027','06','027',Inyo County,California,-112,-17.0,0.0,-42.0,-30.0
98,'06029','06','029',Kern County,California,-5995,-41.0,-1315.0,-3870.0,-625.0
99,'06031','06','031',Kings County,California,322,-36.0,23.0,93.0,7.0
100,'06033','06','033',Lake County,California,-111,21.0,-23.0,-21.0,0.0
101,'06035','06','035',Lassen County,California,-469,-39.0,-130.0,-186.0,-72.0
102,'06039','06','039',Madera County,California,-1068,-31.0,-344.0,-447.0,-352.0
103,'06041','06','041',Marin County,California,-272,-76.0,-10.0,-84.0,-119.0
104,'06043','06','043',Mariposa County,California,-56,0.0,0.0,0.0,0.0
105,'06045','06','045',Mendocino County,California,-91,-12.0,-11.0,-65.0,-47.0
106,'06047','06','047',Merced County,California,-769,-10.0,-51.0,-283.0,-452.0
107,'06049','06','049',Modoc County,California,-41,-2.0,-8.0,-13.0,-5.0
108,'06051','06','051',Mono County,California,-224,-4.0,0.0,7.0,11.0
109,'06053','06','053',Monterey County,California,-362,49.0,-171.0,38.0,-24.0
110,'06055','06','055',Napa County,California,-163,-8.0,0.0,-74.0,-12.0
111,'06057','06','057',Nevada County,California,-40,14.0,19.0,12.0,7.0
112,'06059','06','059',Orange County,California,-11271,-3867.0,-315.0,-4624.0,-2740.0
113,'06061','06','061',Placer County,California,78,-66.0,-28.0,-20.0,-35.0
114,'06063','06','063',Plumas County,California,17,0.0,0.0,0.0,0.0
115,'06065','06','065',Riverside County,California,-9351,-690.0,-1670.0,-4366.0,-2288.0
