City,Cities,2009,2010,2011,2012,2013,2014,2015,2016
Agoura Hills,Agoura Hills city,131635,133143,129648,128864,122793,118673,126230,131845
Alhambra,Alhambra city,56653,54908,56062,56621,58332,57056,58333,59682
Arcadia,Arcadia city,93549,91370,93977,93357,92484,93635,96118,99266
Artesia,Artesia city,51432,59561,60260,61348,61894,62485,62517,62626
Avalon,Avalon city,70160,63750,64087,70958,67895,56765,61125,64803
Azusa,Azusa city,57110,56964,57778,58465,57446,57131,58289,62008
Baldwin Park,Baldwin Park city,51072,50714,51948,51281,51063,51599,53009,54855
Bell,Bell city,38800,38960,36713,36247,36007,36390,37686,39335
Bell Gardens,Bell Gardens city,39282,40007,39190,38554,38268,36739,37152,36816
Bellflower,Bellflower city,54171,54964,55575,54247,53355,53023,53081,55814
Beverly Hills,Beverly Hills city,112271,112318,114764,120220,116453,123636,136726,141721
Bradbury,Bradbury city,155972,158375,152727,155096,118333,116667,110625,147321
Burbank,Burbank city,75437,77220,78802,80625,80938,82063,81902,84527
Calabasas,Calabasas city,132023,134321,135889,137111,142370,136724,124806,129355
Carson,Carson city,72369,72578,74869,76772,77802,76997,79375,79282
Cerritos,Cerritos city,94240,98581,95282,94329,98289,100919,99915,102958
Claremont,Claremont city,103579,101761,104608,103372,106590,108739,110369,117175
Commerce,Commerce city,50513,52396,53246,55296,52231,50948,50044,46151
Compton,Compton city,44604,45637,44835,44653,46158,45877,45484,47589
Covina,Covina city,68904,67883,74726,72944,71904,73113,72701,74552
Cudahy,Cudahy city,41166,41643,37920,38288,36020,36289,34930,37275
Culver City,Culver City city,93125,92589,96809,96659,99750,99860,102115,102787
Diamond Bar,Diamond Bar city,98724,94469,98506,96966,94617,95500,95487,97228
Downey,Downey city,63582,63648,63263,63553,64574,64187,66373,69247
Duarte,Duarte city,65257,66741,70068,70845,70716,72440,72053,73376
El Monte,El Monte city,43071,43760,43183,42788,40951,40727,40404,42643
El Segundo,El Segundo city,102298,105598,103890,103169,101922,103205,107823,111362
Gardena,Gardena city,53335,54945,55227,57525,55072,54331,53417,57728
Glendale,Glendale city,62431,60416,61283,61553,61352,61806,62543,66671
Glendora,Glendora city,87118,85488,85104,84368,83094,82961,84435,88493
Hawaiian Gardens,Hawaiian Gardens city,49788,53571,44821,45530,43550,38246,37485,36250
Hawthorne,Hawthorne city,47036,48162,50490,48882,47709,47091,49040,49339
Hermosa Beach,Hermosa Beach city,135417,140557,156506,160410,164923,167750,170747,183097
Hidden Hills,Hidden Hills city,250001,0,0,0,247500,0,0,"250,000+"
Huntington Park,Huntington Park city,36561,38162,37573,37165,37169,35367,35776,37022
Industry,Industry city,66806,69250,48958,49186,49360,51890,51862,64063
Inglewood,Inglewood city,44188,46799,47697,49408,47928,46449,45954,48391
Irwindale,Irwindale city,63810,59375,65260,63125,63750,60750,51944,56154
La Canada Flintridge,La Canada Flintridge city,167260,156786,168813,173853,175134,169482,174474,178788
La Habra Heights,La Habra Heights city,156341,152727,157589,141250,131528,113833,113455,113438
La Mirada,La Mirada city,89986,88151,89677,89464,90146,90696,90142,91866
La Puente,La Puente city,51974,51970,54040,53985,54486,55150,56856,56774
La Verne,La Verne city,88950,88342,89824,88766,92000,95045,96424,97656
Lakewood,Lakewood city,82736,84517,86039,87847,88123,88660,87157,91152
Lancaster,Lancaster city,54976,56082,57448,57181,55572,54993,52602,52535
Lawndale,Lawndale city,47973,50594,52093,52094,48002,50507,48639,51967
Lomita,Lomita city,73576,71674,72933,71457,69248,66541,66774,71626
Long Beach,Long Beach city,55254,57733,60179,59408,59427,59710,59530,61528
Los Angeles,Los Angeles city,52932,53312,54243,54352,54024,54171,54939,57055
Lynwood,Lynwood city,43471,44111,43856,42717,40923,41332,42638,44023
Malibu,Malibu city,148185,151151,155082,160929,159609,169241,162667,165484
Manhattan Beach,Manhattan Beach city,168153,175250,178783,176461,178351,177532,170842,176439
Maywood,Maywood city,38739,39432,39204,37094,37433,37342,36297,37924
Monrovia,Monrovia city,72412,75302,77073,81396,83097,86034,81650,80879
Montebello,Montebello city,55164,55680,57094,55890,54931,55720,54134,55992
Monterey Park,Monterey Park city,61108,61586,58973,63462,63343,60209,59671,60485
Norwalk,Norwalk city,61345,63064,62761,63201,63196,63688,62881,64504
Palmdale,Palmdale city,55928,56286,55460,54733,54936,56351,54833,56059
Palos Verdes Estates,Palos Verdes Estates city,204904,192143,186651,181648,198750,203241,206083,215369
Paramount,Paramount city,43857,43122,44017,44246,45651,43997,47146,49543
Pasadena,Pasadena city,73876,76250,81498,82540,83601,88600,90405,90003
Pico Rivera,Pico Rivera city,63275,62857,61607,62587,63536,62987,62179,63948
Pomona,Pomona city,51793,51582,53297,51521,51362,50475,51457,52112
